Time_sec,VEq/vTEC
2400,9.59
2700,9.82
3000,10.06
3300,10.29
3600,10.53
3900,10.76
4200,11.0
4500,11.23
4800,11.46
5100,11.78
5400,12.09
5700,12.4
6000,12.71
6300,13.14
6600,13.58
6900,14.01
7200,14.45
7500,14.95
7800,15.46
8100,15.97
8400,16.47
8700,16.73
9000,16.98
9300,17.24
9600,17.49
9900,17.58
10200,17.66
10500,17.75
10800,17.83
11100,17.87
11400,17.91
11700,17.94
12000,17.98
12300,18.06
12600,18.14
12900,18.22
13200,18.31
13500,18.49
13800,18.67
14100,18.86
14400,19.04
14700,19.3
15000,19.55
15300,19.8
15600,20.05
15900,20.22
16200,20.38
16500,20.54
16800,20.7
17100,20.66
17400,20.61
17700,20.56
18000,20.51
18300,20.47
18600,20.42
18900,20.37
19200,20.33
19500,20.3
19800,20.28
20100,20.26
20400,20.23
20700,20.23
21000,20.23
21300,20.24
21600,20.24
21900,20.31
22200,20.37
22500,20.44
22800,20.51
23100,20.65
23400,20.78
23700,20.92
24000,21.05
24300,21.17
24600,21.3
24900,21.42
25200,21.54
25500,21.65
25800,21.76
26100,21.87
26400,21.98
26700,22.15
27000,22.32
27300,22.48
27600,22.65
27900,22.57
28200,22.5
28500,22.42
28800,22.34
29100,22.08
29400,21.83
29700,21.57
30000,21.31
30300,21.07
30600,20.83
30900,20.59
31200,20.35
31500,20.03
31800,19.71
32100,19.39
32400,19.07
32700,19.04
33000,19.01
33300,18.98
33600,18.95
33900,19.09
34200,19.23
34500,19.37
34800,19.51
35100,19.56
35400,19.61
35700,19.66
36000,19.71
36300,19.53
36600,19.36
36900,19.18
37200,19.01
37500,18.82
37800,18.63
38100,18.44
38400,18.25
38700,18.05
39000,17.85
39300,17.66
39600,17.46
39900,17.15
40200,16.83
40500,16.52
40800,16.21
41100,15.79
41400,15.37
41700,14.96
42000,14.54
42300,14.22
42600,13.9
42900,13.58
43200,13.26
43500,13.0
43800,12.74
44100,12.48
44400,12.23
44700,11.96
45000,11.69
45300,11.42
45600,11.15
45900,10.95
46200,10.75
46500,10.55
46800,10.35
47100,10.14
47400,9.93
47700,9.72
48000,9.51
48300,9.09
48600,8.67
48900,8.26
49200,7.84
49500,7.73
49800,7.62
50100,7.51
50400,7.4
50700,7.36
51000,7.32
51300,7.29
51600,7.25
51900,7.24
52200,7.23
52500,7.22
52800,7.21
53100,7.14
53400,7.08
53700,7.01
54000,6.94
54300,6.88
54600,6.81
54900,6.74
55200,6.68
55500,6.68
55800,6.69
56100,6.69
56400,6.7
56700,6.52
57000,6.35
57300,6.17
57600,6.0
57900,5.81
58200,5.63
58500,5.45
58800,5.26
59100,5.19
59400,5.11
59700,5.03
60000,4.96
60300,4.91
60600,4.86
60900,4.81
61200,4.77
61500,4.74
61800,4.71
62100,4.68
62400,4.65
62700,4.66
63000,4.68
63300,4.69
63600,4.7
63900,4.75
64200,4.79
64500,4.83
64800,4.88
65100,4.97
65400,5.06
65700,5.15
66000,5.24
66300,5.16
66600,5.09
66900,5.02
67200,4.94
67500,4.78
67800,4.61
68100,4.44
68400,4.28
68700,4.18
69000,4.07
69300,3.97
69600,3.87
69900,3.8
70200,3.74
70500,3.68
70800,3.61
71100,3.57
71400,3.54
71700,3.5
72000,3.46
72300,3.38
72600,3.29
72900,3.21
73200,3.13
73500,3.09
73800,3.06
74100,3.02
74400,2.98
74700,2.88
75000,2.78
75300,2.68
75600,2.58
75900,2.57
76200,2.56
76500,2.55
76800,2.53
77100,2.52
77400,2.51
77700,2.5
78000,2.48
78300,2.48
78600,2.48
78900,2.48
79200,2.48
79500,2.48
79800,2.47
80100,2.47
80400,2.47
80700,2.58
81000,2.69
81300,2.79
81600,2.9
81900,3.07
82200,3.23
82500,3.39
82800,3.56
83100,3.82
83400,4.09
83700,4.36
84000,4.63
84300,4.77
84600,4.92
84900,5.06
85200,5.21
85500,5.41
85800,5.6
86100,5.8
