Time/h,Lat,Lon,VTEC
0,15,-120,243
1,15,-120,241
2,15,-120,232
3,15,-120,178
4,15,-120,100
5,15,-120,71
6,15,-120,59
7,15,-120,56
8,15,-120,51
9,15,-120,53
10,15,-120,48
11,15,-120,42
12,15,-120,46
13,15,-120,44
14,15,-120,64
15,15,-120,89
16,15,-120,108
17,15,-120,126
18,15,-120,142
19,15,-120,162
20,15,-120,182
21,15,-120,203
22,15,-120,225
23,15,-120,238
0,15,-120,224
1,15,-120,213
2,15,-120,223
3,15,-120,202
4,15,-120,123
5,15,-120,76
6,15,-120,67
7,15,-120,62
8,15,-120,59
9,15,-120,52
10,15,-120,48
11,15,-120,45
12,15,-120,49
13,15,-120,47
14,15,-120,70
15,15,-120,95
16,15,-120,107
17,15,-120,115
18,15,-120,132
19,15,-120,156
20,15,-120,179
21,15,-120,206
22,15,-120,221
23,15,-120,232
0,15,-120,241
1,15,-120,243
2,15,-120,242
3,15,-120,215
4,15,-120,140
5,15,-120,95
6,15,-120,84
7,15,-120,80
8,15,-120,69
9,15,-120,65
10,15,-120,61
11,15,-120,55
12,15,-120,60
13,15,-120,54
14,15,-120,75
15,15,-120,102
16,15,-120,124
17,15,-120,132
18,15,-120,145
19,15,-120,169
20,15,-120,187
21,15,-120,203
22,15,-120,210
23,15,-120,211
0,15,-120,210
1,15,-120,214
2,15,-120,213
3,15,-120,189
4,15,-120,138
5,15,-120,102
6,15,-120,84
7,15,-120,79
8,15,-120,80
9,15,-120,72
10,15,-120,65
11,15,-120,58
12,15,-120,64
13,15,-120,59
14,15,-120,75
15,15,-120,100
16,15,-120,123
17,15,-120,138
18,15,-120,160
19,15,-120,182
20,15,-120,202
21,15,-120,231
22,15,-120,250
23,15,-120,264
0,15,-120,274
1,15,-120,281
2,15,-120,274
3,15,-120,245
4,15,-120,211
5,15,-120,164
6,15,-120,112
7,15,-120,98
8,15,-120,83
9,15,-120,73
10,15,-120,62
11,15,-120,59
12,15,-120,56
13,15,-120,52
14,15,-120,73
15,15,-120,108
16,15,-120,131
17,15,-120,137
18,15,-120,146
19,15,-120,164
20,15,-120,188
21,15,-120,197
22,15,-120,214
23,15,-120,219
0,15,-120,227
1,15,-120,223
2,15,-120,210
3,15,-120,194
4,15,-120,140
5,15,-120,86
6,15,-120,72
7,15,-120,64
8,15,-120,54
9,15,-120,52
10,15,-120,51
11,15,-120,48
12,15,-120,48
13,15,-120,49
14,15,-120,71
15,15,-120,89
16,15,-120,98
17,15,-120,117
18,15,-120,134
19,15,-120,145
20,15,-120,157
21,15,-120,174
22,15,-120,195
23,15,-120,212
0,15,-120,222
1,15,-120,232
2,15,-120,240
3,15,-120,222
4,15,-120,140
5,15,-120,77
6,15,-120,61
7,15,-120,56
8,15,-120,53
9,15,-120,51
10,15,-120,49
11,15,-120,46
12,15,-120,48
13,15,-120,47
14,15,-120,68
15,15,-120,93
16,15,-120,110
17,15,-120,120
18,15,-120,142
19,15,-120,171
20,15,-120,194
21,15,-120,218
22,15,-120,233
23,15,-120,249
0,15,-120,276
1,15,-120,286
2,15,-120,262
3,15,-120,208
4,15,-120,141
5,15,-120,95
6,15,-120,75
7,15,-120,69
8,15,-120,64
9,15,-120,61
10,15,-120,55
11,15,-120,49
12,15,-120,52
13,15,-120,50
14,15,-120,71
15,15,-120,89
16,15,-120,111
17,15,-120,128
18,15,-120,156
19,15,-120,185
20,15,-120,196
21,15,-120,218
22,15,-120,243
23,15,-120,248
0,15,-120,247
1,15,-120,238
2,15,-120,222
3,15,-120,187
4,15,-120,148
5,15,-120,119
6,15,-120,93
7,15,-120,78
8,15,-120,73
